catologNumber;country;locationID;decimalLatitude;decimalLongitude;eventDate;depth;samplingProtocol;samplingEffort;sampleSizeValue;sampleSizeUnit;taxonID;scientificName;acceptedNameUsage;acceptedNameUsageID;individualCount;density;biomass;biomassPerUnitArea
1;Italy;1;45.41025834;12.50290833;2008-11-03;20.50;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_4;15 min haul duration;0.01820848;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
2;Italy;2;45.61951669;13.13591667;2008-11-03;20.55;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_5;30 min haul duration;0.0345717;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
3;Italy;3;45.67071667;13.52076667;2008-11-04;20.55;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_6;6 min haul duration;0.0067851;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
4;Italy;4;45.098875;12.38338334;2008-11-03;20.55;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_7;30 min haul duration;0.0345717;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
5;Italy;5;45.15225;12.50874166;2008-11-03;20.55;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_8;26 min haul duration;0.029962139;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;0;0;0;0
6.00;Italy;8;44.819675;12.47690001;2008-11-02;14.50;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_9;31 min haul duration;0.036302079;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;886;24406.32;4.94;136.01
7.00;Italy;12;44.59279165;12.3459;2008-10-26;10.05;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_10;15 min haul duration;0.01695198;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;168336;9930167;968.6;57137.87
8.00;Italy;16;44.27281667;12.46529166;2008-10-24;11.05;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_11;20 min haul duration;0.023047799;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;57680;2502625;199.66;8662.89
9.00;Italy;17;44.28911667;12.49211666;2008-10-24;12.00;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_12;15 min haul duration;0.017289439;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;17814;1030339.94;98.77;5712.68
10.00;Italy;21;44.147875;12.76268333;2008-10-24;11.55;SoleMon - Rapido trawl surveys in the Northern Adriatic Sea. SoleMon Handbook Version 4. July 2019. https://dcf-italia.cnr.it/rest/uploads/SOLEMON-Handbook_2019_Ver_13;21 min haul duration;0.023737079;square kilometre;ANADTRA;Anadara transversa;Anadara transversa (Say, 1822);urn:lsid:marinespecies.org:taxname:156734;24648;1038375.44;106.84;4501.04
