catalogNumber;organismID;acceptedNameUsage;scientificNameAuthorship;acceptedNameUsageID;taxonRank;locality;country;sex;treatment;waterTemperature;duration;eventDate;bodyLength;standardMetabolicRate;wetWeight;replicateIdentifier;emptyPatchVisit;resourcePatchVisit;totVisit;emptyPatchTimeSpent;resourcePatchTimeSpent;emptyPatchAvTimeSpent;resourcePatchAvTimeSpent;Resid
IndA1_Treat1_Temp28_Rep1;A1;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-16;3.96;0.27117362;1.462;R1;14;14;28;11.81666667;10.7;3.938888889;2.14;-0.125432304
IndA1_Treat1_Temp28_Rep2;A1;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-23;4.304;0.25578089;1.737;R2;28;27;55;18.68333333;10.15;6.227777778;3.383333333;-0.246660945
IndA1_Treat2_Temp25_Rep4;A1;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-14;4.335;0.21667163;1.411;R1;23;22;45;17.63333333;9.916666667;5.877777778;1.983333333;-0.12826453
IndA1_Treat2_Temp25_Rep6;A1;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-27;4.509;0.37946605;1.332;R3;18;17;35;9.25;17.06666667;2.3125;17.06666667;0.453108177
IndA2_Treat1_Temp28_Rep1;A2;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-16;4.201;0.404831931;1.82;R1;16;15;31;12.75;10.7;1.821428571;1.07;0.195484912
IndA2_Treat1_Temp28_Rep3;A2;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-27;4.496;0.271458186;1.921;R3;12;12;24;17.61666667;5.383333333;8.808333333;1.345833333;-0.22385519
IndA2_Treat2_Temp25_Rep4;A2;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-14;4.585;0.16745877;1.401;R1;22;22;44;14.63333333;13.75;2.09047619;2.75;-0.383319211
IndA2_Treat2_Temp25_Rep5;A2;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-21;4.645;0.21243179;1.351;R2;17;17;34;13.28333333;12.96666667;3.320833333;12.96666667;-0.132195924
IndA2_Treat2_Temp25_Rep6;A2;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;25;20;2023-02-27;4.936;0.37860757;1.279;R3;12;12;24;4.183333333;18.76666667;0.464814815;9.383333333;0.465635424
IndA3_Treat1_Temp28_Rep1;A3;Poecilia sphenops;Valenciennes, 1846;https://www.marinespecies.org/aphia.php?p=taxdetails&id=275351;species;Glasgow;United Kingdom;M;ONE;28;20;2023-01-16;3.025;0.276817578;0.914;R1;17;17;34;10;13;1.111111111;2.166666667;0.066295071
