"catalogNumber","decimalLatitude","decimalLongitude","eventDate","eventTime","kingdom","phylum","class","order","family","genus","scientificName","acceptedNameUsage","scientificNameAuthorship","acceptedNameUsageID","nestCount","breedingPairs"
1,42.57333359,27.62331418,"2021/05/25","7:27:26","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus olor","Cygnus olor","(J. F. Gmelin, 1789)","https://www.catalogueoflife.org/data/taxon/32ZQB",1,1
2,42.5838222,27.62505527,"2021/05/25","7:38:48","Animalia","Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","Haematopus ostralegus","Haematopus ostralegus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/3J8XQ",0,1
3,42.6080345,27.6240077,"2021/05/26","7:28:18","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mareca","Anas strepera","Mareca strepera","strepera (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/B76F3",0,1
4,42.61404231,27.62817141,"2021/05/26","7:38:48","Animalia","Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","Haematopus ostralegus","Haematopus ostralegus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/3J8XQ",0,1
5,42.62420453,27.63350523,"2021/05/26","8:05:14","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mareca","Anas strepera","Mareca strepera","strepera (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/B76F3",0,1
6,42.618066,27.623462,"2021/05/26","8:31:08","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Vanellus","Vanellus vanellus","Vanellus vanellus","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/7FFJL",0,2
7,42.590522,27.612973,"2021/05/15","8:32:12","Animalia","Chordata","Aves","Gruiformes","Rallidae","Fulica","Fulica atra","Fulica atra","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/6K3W6",1,2
8,42.592171,27.615598,"2021/05/15","8:48:25","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus aeroginosus","Circus aeruginosus","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/5Z6WQ",1,2
9,42.589071,27.614717,"2021/05/26","9:16:21","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus olor","Cygnus olor","(J. F. Gmelin, 1789)","https://www.catalogueoflife.org/data/taxon/32ZQB",1,1
10,42.591174,27.617873,"2021/05/26","9:22:36","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus olor","Cygnus olor","(J. F. Gmelin, 1789)","https://www.catalogueoflife.org/data/taxon/32ZQB",1,1
11,42.580584,27.610284,"2021/05/26","10:36:47","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus olor","Cygnus olor","(J. F. Gmelin, 1789)","https://www.catalogueoflife.org/data/taxon/32ZQB",1,1
