catalogNumber;occurrenceID;year;month;eventRemarks;verbatimLocality;country;decimalLatitude;decimalLongitude;depth;class;order;family;genus;scientificName;scientificNameAuthorship;acceptedNameUsage;acceptedNameUsageID;taxonRank;occurrenceRemarks;organismQuantity;organismQuantityType;nativeSeaArea;degreeOfEstablishment;distributionStatus;associatedReferences;references
81;ABLHIA20192Syria2;2019;2;NA;Marine waters facing Banyas city;Syria;35.24308611;35.92015556;NA;Teleostei;Beloniformes;Belonidae;Ablennes;Ablennes hians;(Valenciennes, 1846);Ablennes hians;urn:lsid:marinespecies.org:taxname:159246;species;none;2;individuals;Indo-Pacific Ocean;Established;Rare;Alshawy F., Ibrahim A., Hussein C., & Lahlah M., 2019. First record of the flat needlefish Ablennes hians (Valenciennes, 1846) from Syrian marine waters (eastern Mediterranean). Marine Biodiversity Records, 12(1), 12-15. https://doi.org/10.1186/s41200-019-0174-5;https://www.fishbase.de/summary/Ablennes-hians.html
765;ABLHIA20214Lebanon5825;2021;4;NA;Tyre;Lebanon;33.26437;35.197381;NA;Teleostei;Beloniformes;Belonidae;Ablennes;Ablennes hians;(Valenciennes, 1846);Ablennes hians;urn:lsid:marinespecies.org:taxname:159246;species;none;3;individuals;Indo-Pacific Ocean;Established;Rare;Crocetta F. et al., 2021. New Alien Mediterranean Biodiversity Records (November 2021). Mediterranean Marine Science, 22 (3), 724-746. https://doi.org/10.12681/mms.26668;https://www.fishbase.de/summary/Ablennes-hians.html
1691;ABLHIA20189Israel1;2018;9;NA;Netanya, North of Tel Aviv;Israel;32.286;34.785;25;Teleostei;Beloniformes;Belonidae;Ablennes;Ablennes hians;(Valenciennes, 1846);Ablennes hians;urn:lsid:marinespecies.org:taxname:159246;species;First record ;1;individuals;Indo-Pacific Ocean;Established;Rare;Golani D., 2019. First record of the flat needlefish Ablennes hians (Valenciennes, 1846) in the Mediterranean Sea (Osteichthyes, Beloniformes, Belonidae). BioInvasion Records, 8, 410-412. https://doi.org/10.1186/s41200-019-0174-5;https://www.fishbase.de/summary/Ablennes-hians.html
891;ABUHOE20164Malta32;2016;4;NA;NA;Malta;35.919;14.512;NA;Teleostei;Ovalentaria incertae sedis;Pomacentridae;Abudefduf;Abudefduf hoefleri;(Steindachner, 1881);Abudefduf hoefleri;urn:lsid:marinespecies.org:taxname:273699;species;none;several;individuals;Tropical Atlantic;Casual;NA;Deidun A., Castriota L., Falautano M., Valenzia A., Role T. & Sciberras A., 2016. Further evidence of the Atlantic presence in the central Mediterranean of Acanthurus monroviae and of Abudefduf hoefleri within Maltese coastal waters. Proceedings of the 51st European Marine Biology Symposium, Rhodes, Rhodes Palace Hotel, 26-30 September 2016, 76.;https://www.fishbase.de/summary/Abudefduf-hoefleri.html
4940;ABUHOE20141Malta31;2014;1;NA;Delimara;Malta;35.83513804;14.56300869;5;Teleostei;Ovalentaria incertae sedis;Pomacentridae;Abudefduf;Abudefduf hoefleri;(Steindachner, 1881);Abudefduf hoefleri;urn:lsid:marinespecies.org:taxname:273699;species;First record ;1;individuals;Tropical Atlantic;Casual;NA;Vella A., Vella N. & Darmanin S.A., 2016. The first record of the African Sergeant, Abudefduf hoefleri (Perciformes: Pomacentridae), in the Mediterranean Sea. Marine Biodiversity Records, 9, 1-5. https://doi.org/10.1186/s41200-016-0008-7 ;https://www.fishbase.de/summary/Abudefduf-hoefleri.html
4881;ABUSAX20131Israel33;2013;1;NA;Sdot-Yam;Israel;32.493;34.887;1.5;Teleostei;Ovalentaria incertae sedis;Pomacentridae;Abudefduf;Abudefduf saxatilis;(Linnaeus, 1758);Abudefduf saxatilis;urn:lsid:marinespecies.org:taxname:159288;species;First record ;10;individuals;Tropical Atlantic;Established;Rare;Tsadok R., Rubin-Blum M., Shemesh E. & Tchernov D., 2015. On the occurrence and identification of Abudefduf saxatilis (Linnaeus, 1758) in the easternmost Mediterranean Sea. Aquatic Invasions, 10, 101-105. http://dx.doi.org/10.3391/ai.2015.10.1.10;https://www.fishbase.de/summary/Abudefduf-saxatilis.html
1577;ABUSEX20178Greece34;2017;8;NA;Sounio;Greece;37.677306;24.055472;2;Teleostei;Ovalentaria incertae sedis;Pomacentridae;Abudefduf;Abudefduf sexfasciatus;(Lacepède, 1801);Abudefduf sexfasciatus;urn:lsid:marinespecies.org:taxname:159289;species;First record ;1;individuals;Indo-Pacific Ocean;Casual;NA;Giovos I., Bernardi G., Romanidis-Kyriakidis G., Marmara D. & Kleitou P., 2018. First records of the fish Abudefduf sexfasciatus (Lacepède, 1801) and Acanthurus sohal (Forsskål, 1775) in the Mediterranean Sea.. BioInvasion Records, 7(2), 205-210. https://doi.org/10.3391/bir.2018.7.2.14;https://www.fishbase.de/summary/Abudefduf-sexfasciatus.html
356;ABUVAI2013naLebanon35;2013;NA;NA;NA;Lebanon;33.907578;35.512876;NA;Teleostei;Ovalentaria incertae sedis;Pomacentridae;Abudefduf;Abudefduf vaigiensis;(Quoy & Gaimard, 1825);Abudefduf vaigiensis;urn:lsid:marinespecies.org:taxname:212879;species;First record ;1;individuals;Indo-Pacific Ocean;Established;Common;Bariche M., Torres M., Smith C., Sayar N., Azzurro E., Baker R. & Bernardi G., 2015. Red Sea fishes in the Mediterranean Sea: a preliminary investigation of a biological invasion using DNA barcoding.  Journal of Biogeography, 42(12), 2363-2373. https://doi.org/10.1111/jbi.12595;https://www.fishbase.de/summary/Abudefduf-vaigiensis.html
4339;ABUVAI20198Libya36;2019;8;NA;Ibn-Habi;Libya;32.8539;13.0543;2;Teleostei;Ovalentaria incertae sedis;Pomacentridae;Abudefduf;Abudefduf vaigiensis;(Quoy & Gaimard, 1825);Abudefduf vaigiensis;urn:lsid:marinespecies.org:taxname:212879;species;none;1;individuals;Indo-Pacific Ocean;Established;Common;Osca D., Tanduo V., Tiralongo F., Giovos I., Almabruk S. A., Crocetta F. & Rizgalla, J., 2020. The Indo-Pacific Sergeant Abudefduf vaigiensis (Quoy & Gaimard, 1825)(Perciformes: Pomacentridae) in Libya, South-Central Mediterranean Sea. Journal of Marine Science and Engineering, 8(1), 14-23.;https://www.fishbase.de/summary/Abudefduf-vaigiensis.html
58;ACABIF202011Egypt5837;2020;11;NA;east of Alexandria;Egypt;31.3044;30.0235;44654;Teleostei;Eupercaria incertae sedis;Sparidae;Acanthopagrus;Acanthopagrus bifasciatus;(Forsskål, 1775);Acanthopagrus bifasciatus;urn:lsid:marinespecies.org:taxname:218589;species;none;1;individuals;Indo-Pacific Ocean;Casual;NA;Al Mabruk S.A., Zava B., Nour O.M., Foka M.C., Deidun A., 2021. Record of Terapon jarbua (Forsskål, 1775) (Terapontidae) and Acanthopagrus bifasciatus (Forsskål, 1775) (Sparidae) in the Egyptian Mediterranean waters. BioInvasions Records, 10(3), 710-720. https://doi.org/10.3391/bir.2021.10.3.21;https://www.fishbase.de/summary/Acanthopagrus-bifasciatus.html
