catalogNumber;year;month;locality;waterBody;country;decimalLatitude;decimalLongitude;depth;acceptedNameUsage;acceptedNameUsageID;scientificNameAuthorship;taxonRank;wetWeight;bodyLength;carbon13;percentCarbon;nitrogen15;percentNitrogen
1;2022;NA;Rimini;Adriatic Sea;Italy;44.226119;12.65565;20;Anadara kagoshimensis;urn:lsid:marinespecies.org:taxname:504360;(Tokunaga, 1906);species;31.25;4.35;-19.08;44.86;8.57;10.11
2;2022;NA;Rimini;Adriatic Sea;Italy;44.226119;12.65565;20;Anadara kagoshimensis;urn:lsid:marinespecies.org:taxname:504360;(Tokunaga, 1906);species;31.1;4.42;-19.07;44.69;8.15;10.79
3;2022;NA;Rimini;Adriatic Sea;Italy;44.226119;12.65565;20;Anadara kagoshimensis;urn:lsid:marinespecies.org:taxname:504360;(Tokunaga, 1906);species;34.1;5;-18.85;39.53;8.51;9.46
4;2022;NA;Rimini;Adriatic Sea;Italy;44.226119;12.65565;20;Anadara kagoshimensis;urn:lsid:marinespecies.org:taxname:504360;(Tokunaga, 1906);species;28;4.07;-19.07;44.5;8.66;10.93
5;2022;NA;Rimini;Adriatic Sea;Italy;44.226119;12.65565;20;Anadara kagoshimensis;urn:lsid:marinespecies.org:taxname:504360;(Tokunaga, 1906);species;31.6;4.46;-19.24;37.93;8.41;8.62
6;2022;NA;Rimini;Adriatic Sea;Italy;44.226119;12.65565;20;Anadara kagoshimensis;urn:lsid:marinespecies.org:taxname:504360;(Tokunaga, 1906);species;30.1;4.11;-19.26;39.79;8.18;8.74
7;2022;NA;Rimini;Adriatic Sea;Italy;44.226119;12.65565;20;Anadara kagoshimensis;urn:lsid:marinespecies.org:taxname:504360;(Tokunaga, 1906);species;29.1;4.33;-19.03;45.74;8.49;10.82
8;2022;NA;Rimini;Adriatic Sea;Italy;44.226119;12.65565;20;Anadara kagoshimensis;urn:lsid:marinespecies.org:taxname:504360;(Tokunaga, 1906);species;22.2;3.82;-19.23;43.01;8.26;9.53
9;2022;NA;Rimini;Adriatic Sea;Italy;44.226119;12.65565;20;Anadara transversa;urn:lsid:marinespecies.org:taxname:156734;(Say, 1822);species;14.2;3.81;-19.28;38.69;7.74;9.67
10;2022;NA;Rimini;Adriatic Sea;Italy;44.226119;12.65565;20;Anadara transversa;urn:lsid:marinespecies.org:taxname:156734;(Say, 1822);species;12;3.56;-19.37;41.49;7.5;10.58
11;2022;NA;Rimini;Adriatic Sea;Italy;44.226119;12.65565;20;Anadara transversa;urn:lsid:marinespecies.org:taxname:156734;(Say, 1822);species;12.8;3.5;-19.27;42.69;7.55;9.67
12;2022;NA;Rimini;Adriatic Sea;Italy;44.226119;12.65565;20;Anadara transversa;urn:lsid:marinespecies.org:taxname:156734;(Say, 1822);species;10.7;3.27;-19.38;39.18;7.25;9.62
13;2022;NA;Rimini;Adriatic Sea;Italy;44.226119;12.65565;20;Anadara transversa;urn:lsid:marinespecies.org:taxname:156734;(Say, 1822);species;8.6;3.35;-19.28;44.7;7.34;10.95
14;2022;NA;Rimini;Adriatic Sea;Italy;44.226119;12.65565;20;Anadara transversa;urn:lsid:marinespecies.org:taxname:156734;(Say, 1822);species;8.7;3.49;-19.53;38.65;7.71;9.35
15;2022;NA;Rimini;Adriatic Sea;Italy;44.226119;12.65565;20;Anadara transversa;urn:lsid:marinespecies.org:taxname:156734;(Say, 1822);species;10.6;3.58;-19.37;42.13;8.18;10.77
16;2022;NA;Rimini;Adriatic Sea;Italy;44.226119;12.65565;20;Anadara transversa;urn:lsid:marinespecies.org:taxname:156734;(Say, 1822);species;6.3;3;-19.55;39.63;8.08;9.67
17;2022;NA;Rimini;Adriatic Sea;Italy;44.226119;12.65565;20;Anadara transversa;urn:lsid:marinespecies.org:taxname:156734;(Say, 1822);species;7.6;3.2;-19.56;40.24;7.21;9.42
