catalogNumber;eventDate;locationID;country;stateProvince;decimalLatitude;decimalLongitude;locationRemarks;materialSample;scientificName;acceptedNameUsage;acceptedNameUsageID;taxonRank;carbon13;percentCarbon;nitrogen15;percentNitrogen
FZ01AA;2023-06-12;FZ01;Italy;Sicily;37.919263;13.387027;Ailanthus altissima is rare;leaf sample;Ailanthus altissima;Ailanthus altissima;https://www.checklistbank.org/dataset/308133/taxon/BCBF;species;-28.98;45.65;2.8;3.64
FZ03AA;2023-06-12;FZ03;Italy;Sicily;37.8466;13.435247;Ailanthus altissima is rare;leaf sample;Ailanthus altissima;Ailanthus altissima;https://www.checklistbank.org/dataset/308133/taxon/BCBF;species;-27.89;47.5;3.08;3.18
FZM1AA;2023-06-12;FZM1;Italy;Sicily;37.92039;13.386808;Ailanthus altissima is abundant;leaf sample;Ailanthus altissima;Ailanthus altissima;https://www.checklistbank.org/dataset/308133/taxon/BCBF;species;-27.04;48.82;3.68;3.45
L-AA-ALT;2023-09-29;A;Italy;Umbria;42.778224;12.006533;Ailanthus altissima is abundant;leaf sample;Ailanthus altissima;Ailanthus altissima;https://www.checklistbank.org/dataset/308133/taxon/BCBF;species;-28.32;46.87;2.13;0
L-AT-ALT;2023-09-29;A;Italy;Umbria;42.778224;12.006533;Ailanthus altissima is rare;leaf sample;Ailanthus altissima;Ailanthus altissima;https://www.checklistbank.org/dataset/308133/taxon/BCBF;species;-27.96;46.47;4.72;2.49
L-BA-ALT;2023-09-29;B;Italy;Lazio;42.658216;11.954748;Ailanthus altissima is abundant;leaf sample;Ailanthus altissima;Ailanthus altissima;https://www.checklistbank.org/dataset/308133/taxon/BCBF;species;-25.89;48.43;7.96;3.02
L-BA-OLE;2023-09-29;B;Italy;Lazio;42.658216;11.954748;Ailanthus altissima is abundant;leaf sample;Ailanthus altissima;Ailanthus altissima;https://www.checklistbank.org/dataset/308133/taxon/BCBF;species;-25.12;51.01;1.35;1.35
L-BA-RUB;2023-09-29;B;Italy;Lazio;42.658216;11.954748;Ailanthus altissima is abundant;leaf sample;Ailanthus altissima;Ailanthus altissima;https://www.checklistbank.org/dataset/308133/taxon/BCBF;species;-25.86;49.07;9.82;2.12
L-PA-ALT;2023-10-13;P;Italy;Umbria;42.683087;12.098837;Ailanthus altissima is abundant;leaf sample;Ailanthus altissima;Ailanthus altissima;https://www.checklistbank.org/dataset/308133/taxon/BCBF;species;-28.29;48.46;2.36;2.58
L-PT-ALT;2023-10-13;P;Italy;Umbria;42.683087;12.098837;Ailanthus altissima is rare;leaf sample;Ailanthus altissima;Ailanthus altissima;https://www.checklistbank.org/dataset/308133/taxon/BCBF;species;-29.78;45.51;-1.88;1.73
MA02AA;2023-06-10;MA02;Italy;Sicily;37.806506;14.096826;Ailanthus altissima is rare;leaf sample;Ailanthus altissima;Ailanthus altissima;https://www.checklistbank.org/dataset/308133/taxon/BCBF;species;-29.42;47.59;4.27;3.38
MP02AA;2023-06-09;MP02;Italy;Sicily;38.167925;13.340267;Ailanthus altissima is rare;leaf sample;Ailanthus altissima;Ailanthus altissima;https://www.checklistbank.org/dataset/308133/taxon/BCBF;species;-29.02;45.75;6.97;3.19
MP05AA;2023-06-09;MP05;Italy;Sicily;38.167187;13.34199;Ailanthus altissima is abundant;leaf sample;Ailanthus altissima;Ailanthus altissima;https://www.checklistbank.org/dataset/308133/taxon/BCBF;species;-29.3;43.56;2.79;2.76
MP07AA;2023-06-09;MP07;Italy;Sicily;38.161415;13.33665;Ailanthus altissima is rare;leaf sample;Ailanthus altissima;Ailanthus altissima;https://www.checklistbank.org/dataset/308133/taxon/BCBF;species;-29.7;45.66;3.83;2.95
MP08AA;2023-06-10;MP08;Italy;Sicily;38.155769;13.356661;Ailanthus altissima is abundant;leaf sample;Ailanthus altissima;Ailanthus altissima;https://www.checklistbank.org/dataset/308133/taxon/BCBF;species;-30.04;47.31;2.25;3
MP09AA;2023-06-10;MP09;Italy;Sicily;38.156849;13.354713;Ailanthus altissima is abundant;leaf sample;Ailanthus altissima;Ailanthus altissima;https://www.checklistbank.org/dataset/308133/taxon/BCBF;species;-29.23;46.78;2.75;3.21
MP10AA;2023-06-10;MP10;Italy;Sicily;38.15729;13.354292;Ailanthus altissima is rare;leaf sample;Ailanthus altissima;Ailanthus altissima;https://www.checklistbank.org/dataset/308133/taxon/BCBF;species;-28.84;47.18;2.37;2.55
MP11AA;2023-06-11;MP11;Italy;Sicily;38.171897;13.338245;Ailanthus altissima is rare;leaf sample;Ailanthus altissima;Ailanthus altissima;https://www.checklistbank.org/dataset/308133/taxon/BCBF;species;-32.17;47.1;5.74;5.7
VC02AA;2023-06-13;VC02;Italy;Sicily;37.651833;14.484692;Ailanthus altissima is abundant;leaf sample;Ailanthus altissima;Ailanthus altissima;https://www.checklistbank.org/dataset/308133/taxon/BCBF;species;-28.38;48.66;1.55;2.07
VC03AA;2023-06-13;VC03;Italy;Sicily;37.652118;14.482035;Ailanthus altissima is abundant;leaf sample;Ailanthus altissima;Ailanthus altissima;https://www.checklistbank.org/dataset/308133/taxon/BCBF;species;-27.81;49.44;3.25;2.02
VC04AA;2023-06-13;VC04;Italy;Sicily;37.64975;14.490257;Ailanthus altissima is rare;leaf sample;Ailanthus altissima;Ailanthus altissima;https://www.checklistbank.org/dataset/308133/taxon/BCBF;species;-29.91;49.11;3.84;4.27
VC05AA;2023-06-13;VC05;Italy;Sicily;37.64927;14.489838;Ailanthus altissima is rare;leaf sample;Ailanthus altissima;Ailanthus altissima;https://www.checklistbank.org/dataset/308133/taxon/BCBF;species;-29.48;50.19;9.16;3.32
VC05AP;2023-06-13;VC05;Italy;Sicily;37.64927;14.489838;Ailanthus altissima is rare;leaf sample;Arundo pliniana;Arundo plinii;https://www.checklistbank.org/dataset/308133/taxon/H3NT;species;-28.31;45.24;11.71;3.22
MP01CA;2023-06-09;MP01;Italy;Sicily;38.1678;13.340435;Ailanthus altissima is absent;leaf sample;Celtis australis;Celtis australis;https://www.checklistbank.org/dataset/308133/taxon/5XGKD;species;-28.52;44.43;5.01;2.15
MP11CA;2023-06-11;MP11;Italy;Sicily;38.171897;13.338245;Ailanthus altissima is rare;leaf sample;Celtis australis;Celtis australis;https://www.checklistbank.org/dataset/308133/taxon/5XGKD;species;-27.88;42.85;5.85;2.43
MA02FE;2023-06-10;MA02;Italy;Sicily;37.806506;14.096826;Ailanthus altissima is rare;leaf sample;Fraxinus ornus;Fraxinus ornus;https://www.checklistbank.org/dataset/308133/taxon/6JMH8;species;-29.17;44.97;-0.14;2.12
L-BN-OLE;2023-09-29;B;Italy;Lazio;42.658216;11.954748;Ailanthus altissima is absent;leaf sample;Nerium oleander;Nerium oleander;https://www.checklistbank.org/dataset/308133/taxon/4768L;species;-26.1;51.19;1.15;1.25
L-BT-OLE;2023-09-29;B;Italy;Lazio;42.658216;11.954748;Ailanthus altissima is rare;leaf sample;Nerium oleander;Nerium oleander;https://www.checklistbank.org/dataset/308133/taxon/4768L;species;-26.31;51.89;2.79;1.58
MP10OE;2023-06-11;MP10;Italy;Sicily;38.15729;13.354292;Ailanthus altissima is rare;leaf sample;Olea europaea;Olea europaea;https://www.checklistbank.org/dataset/308133/taxon/493JT;species;-27.09;35.04;1.34;1.91
MP10PS;2023-06-11;MP10;Italy;Sicily;38.15729;13.354292;Ailanthus altissima is rare;leaf sample;Pennisetum setaceum;Cenchrus setaceus;https://www.checklistbank.org/dataset/308133/taxon/S5KP;species;-13.2;40.11;3.74;1.32
FZ01PL;2023-06-12;FZ01;Italy;Sicily;37.919263;13.387027;Ailanthus altissima is rare;leaf sample;Phillyrea;Phillyrea;https://www.checklistbank.org/dataset/308133/taxon/8WJR6;genus;-29.16;49.6;0.49;2.28
