"catalogNumber","organismID","acceptedNameUsage","scientificNameAuthorship","acceptedNameUsageID","taxonRank","decimalLatitude","decimalLongitude","sex","eventDate","salinity","dryWeight","respirationRate","waterTemperature","standardMetabolicRate"
"1","A1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-21",2,1.9,0.000996912,17,0.33639798528
"2","A2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-21",2,1.874,0.000919512,17,0.31028012928
"3","A3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-21",2,3.546,0.000863784,17,0.29147527296
"4","A4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-21",2,1.313,0.00029412,17,0.0992478528
"5","A5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-21",2,2.469,0.000173,17,0.05837712
"6","A6","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-21",2,3.069,0.000251,17,0.08469744
"7","B1","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-21",2,3.74,0.000238,17,0.08031072
"8","B2","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-21",2,0.578,0.000151704,17,0.05119099776
"9","B3","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-21",2,2.806,0.000118,17,0.03981792
"10","B4","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"F","2024-08-21",2,1.852,0.000467496,17,0.15775185024
"11","B5","Spelaeomysis bottazzii","Caroli, 1924","https://www.marinespecies.org/aphia.php?p=taxdetails&id=226308","species",40.222,17.929,"M","2024-08-21",2,3.806,0.000383904,17,0.12954456576
