"catalogNumber","eventID","eventDate","decimalLatitude","decimalLongitude","locationRemarks","scientificName","kingdom","phylum","class","order","family","genus","acceptedNameUsage","scientificNameAuthorship","acceptedNameUsageID","taxonRank","BraunBlanquetScale"
1,19,"1982-08-31",45.8491667,15.4244444,"Kostanjevica (Krka Valley) / north of the town, right bank of the Krka River, on low water levels","Agrostis stolonifera","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Agrostis stolonifera","L.","https://www.catalogueoflife.org/data/taxon/665HP","species","+"
2,19,"1982-08-31",45.8491667,15.4244444,"Kostanjevica (Krka Valley) / north of the town, right bank of the Krka River, on low water levels","Persicaria hydropiper","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Persicaria","Persicaria hydropiper","(L.) Spach","https://www.catalogueoflife.org/data/taxon/4F9T2","species","1"
3,19,"1982-08-31",45.8491667,15.4244444,"Kostanjevica (Krka Valley) / north of the town, right bank of the Krka River, on low water levels","Persicaria lapathifolia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Persicaria","Persicaria lapathifolia","(L.) Gray","https://www.catalogueoflife.org/data/taxon/4F9TP","species","+"
4,19,"1982-08-31",45.8491667,15.4244444,"Kostanjevica (Krka Valley) / north of the town, right bank of the Krka River, on low water levels","Potentilla reptans","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla","Potentilla reptans","L.","https://www.catalogueoflife.org/data/taxon/4M5X2","species","1"
5,19,"1982-08-31",45.8491667,15.4244444,"Kostanjevica (Krka Valley) / north of the town, right bank of the Krka River, on low water levels","Ranunculus repens","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","Ranunculus repens","L.","https://www.catalogueoflife.org/data/taxon/4RHKY","species","1"
6,19,"1982-08-31",45.8491667,15.4244444,"Kostanjevica (Krka Valley) / north of the town, right bank of the Krka River, on low water levels","Rumex conglomeratus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Rumex","Rumex conglomeratus","Murray","https://www.catalogueoflife.org/data/taxon/799DT","species","+"
7,19,"1982-08-31",45.8491667,15.4244444,"Kostanjevica (Krka Valley) / north of the town, right bank of the Krka River, on low water levels","Rumex crispus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Rumex","Rumex crispus","L.","https://www.catalogueoflife.org/data/taxon/4TPLP","species","+"
8,19,"1982-08-31",45.8491667,15.4244444,"Kostanjevica (Krka Valley) / north of the town, right bank of the Krka River, on low water levels","Persicaria dubia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Persicaria","Persicaria mitis","(Schrank) Assenov","https://www.catalogueoflife.org/data/taxon/6V5FD","species","4"
9,798,"2001-06-21",46.2201389,14.4953278,"Lahovce / bees, June","Agrostis stolonifera","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Agrostis","Agrostis stolonifera","L.","https://www.catalogueoflife.org/data/taxon/665HP","species","1"
10,798,"2001-06-21",46.2201389,14.4953278,"Lahovce / bees, June","Persicaria hydropiper","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Persicaria","Persicaria hydropiper","(L.) Spach","https://www.catalogueoflife.org/data/taxon/4F9T2","species","1"
