catalogNumber;eventId;parentEventId;eventDate;locality;decimalLatitude;decimalLongitude;phylum;class;family;order;providedScientificName;scientificName;ashFreeDryWeight;ashWeight;dryWeight;bodyLength
756;e;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;0.700833;91.95;8.706;6.13
748;e;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;0.944909;91.95;11.738;6.97
753;c;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;0.781403841;91.95;9.706880014;7.17
751;c;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;0.882183223;91.95;10.9587978;7.6
741;e;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;1.378321;91.95;17.122;7.96
747;c;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;0.979094647;91.95;12.16266643;7.99
746;b;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;0.98164864;91.95;12.19439304;8
745;c;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;0.991899206;91.95;12.32172927;8.04
743;b;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;1.02559606;91.95;12.74032372;8.17
742;b;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;1.113766069;91.95;13.83560334;8.5
740;a;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;1.5728895;91.95;19.539;12.82
1487;c;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;;;;
1489;c;1;23/07/07;acquatina;40.436833;18.247778;;;;;Bivalvia;Bivalvia;;;;
1508;e;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;0.834028864;58.96;2.032234073;1.94
1507;b;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;0.870709591;58.96;2.121612063;1.99
1506;d;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;0.953663036;58.96;2.323740342;2.1
1504;b;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;1.237738072;58.96;3.015930975;2.45
1503;e;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;1.280763568;58.96;3.120768928;2.5
1502;d;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;1.298141725;58.96;3.163113366;2.52
1500;d;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;1.431509987;58.96;3.488084763;2.67
1499;e;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;1.763100132;58.96;4.296052954;3.02
1498;c;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;2.2793616;58.96;5.554;3.68
1496;d;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;3.956213492;58.96;9.639896423;4.87
1495;e;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;4.192607859;58.96;10.21590609;5.04
1491;b;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;18.31364224;58.96;44.62388459;12.05
4120;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;0.033744;57.82;0.08;1.54
4117;a;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;0.2450658;57.82;0.581;1.69
4118;a;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;0.2210232;57.82;0.524;2.07
4119;d;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;0.2075256;57.82;0.492;2.47
4109;a;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;0.603174;57.82;1.43;2.89
4107;d;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.176822;57.82;2.79;3.94
4097;a;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.8150054;57.82;4.303;3.95
4096;a;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.8487494;57.82;4.383;4.06
4089;a;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;2.3616582;57.82;5.599;4.18
4090;c;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;2.1916728;57.82;5.196;4.28
4088;c;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;2.4413784;57.82;5.788;4.32
4101;d;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.670328;57.82;3.96;4.34
4099;c;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.782105;57.82;4.225;4.51
4104;d;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.3168596;57.82;3.122;4.59
4100;d;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.7766216;57.82;4.212;4.96
4102;b;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.609167;57.82;3.815;5.13
4092;c;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;2.0887536;57.82;4.952;5.28
4098;c;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.8133182;57.82;4.299;5.49
4108;a;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.1384382;57.82;2.699;5.65
4002;c;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;13.8848124;57.82;32.918;5.7
4081;c;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;3.3482484;57.82;7.938;5.9
4083;e;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;3.1694052;57.82;7.514;6.31
4087;d;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;2.6223306;57.82;6.217;6.47
4077;a;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;3.745802156;57.82;8.880517202;6.49
4085;b;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;2.7973776;57.82;6.632;6.6
4078;c;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;3.528357;57.82;8.365;6.62
4082;b;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;3.2335188;57.82;7.666;6.73
4041;e;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;5.9638302;57.82;14.139;6.99
4069;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;4.1985972;57.82;9.954;7.08
4033;a;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;7.4962296;57.82;17.772;7.18
4073;e;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;3.813072;57.82;9.04;7.28
4106;e;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.2101442;57.82;2.869;7.39
4076;a;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;3.781437;57.82;8.965;7.68
4067;d;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;4.355085;57.82;10.325;7.79
4071;e;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;3.9033372;57.82;9.254;7.92
4035;e;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;7.2667704;57.82;17.228;8.05
4026;a;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;8.8122456;57.82;20.892;8.08
4044;e;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;5.7803472;57.82;13.704;8.09
4020;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;9.3521496;57.82;22.172;8.12
