eventId;parentEventId;eventDate;year;samplingProtocol;waterBody;locality;decimalLatitude;decimalLongitude;providedScientificName;scientificName;measurementRemarks;bodyLength;ashFreeDryWeight
3;3;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59401;18.01027;Aeshnidae;Aeshnidae;35;13.8;4.8724
3;3;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59401;18.01027;Aeshnidae;Aeshnidae;35;13.87;6.0766
1;2;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Ancylidae;Ancylinae;35;3.26;0.5025
2;2;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Ancylidae;Ancylinae;35;4.97;1.2508
1;1;23/02/2004;2004;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Baetis sp;Baetis;35;5.35;0.5127
1;2;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Baetis sp;Baetis;35;7.14;0.3905
1;2;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Baetis sp;Baetis;35;5.32;0.4666
1;2;26/05/2004;2004;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59944;18.01903;Baetis sp;Baetis;35;6.31;1.7281
1;8;22/09/2003;2003;litter bag technique (phragmites australis);fiume grande;brindisi;40.62645;17.98345;Berosus sp;Berosus;35;5.13;1.0908
1;3;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59401;18.01027;Berosus sp;Berosus;35;5.38;0.1662
1;3;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59401;18.01027;Berosus sp;Berosus;35;5.45;0.3996
1;3;22/09/2003;2003;litter bag technique (phragmites australis);canale foggia di rau;brindisi;40.59401;18.01027;Berosus sp;Berosus;35;6.74;0.9264
1;4;22/09/2003;2003;litter bag technique (phragmites australis);salina piccola;brindisi;40.60959;18.02705;Berosus sp;Berosus;35;3.25;0.1017
3;4;22/09/2003;2003;litter bag technique (phragmites australis);salina piccola;brindisi;40.60959;18.02705;Berosus sp;Berosus;35;4.05;0.2007
1;1;22/09/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;3.93;0.1052
1;1;22/09/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;4.31;0.206
2;1;22/09/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;8.77;1.0334
3;4;03/12/2003;2003;litter bag technique (phragmites australis);salina piccola;brindisi;40.60959;18.02705;Berosus sp;Berosus;35;3.8;0.1414
1;4;03/12/2003;2003;litter bag technique (phragmites australis);salina piccola;brindisi;40.60959;18.02705;Berosus sp;Berosus;35;4.6;0.4127
1;4;03/12/2003;2003;litter bag technique (phragmites australis);salina piccola;brindisi;40.60959;18.02705;Berosus sp;Berosus;35;5.64;0.8502
2;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;2.63;0.0884
3;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;4.11;0.1175
2;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;3.32;0.1494
2;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;3.58;0.2086
2;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;4.2;0.2369
1;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;3.84;0.2704
2;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;3.94;0.2943
1;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;4.26;0.38
3;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;4.19;0.4569
1;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;3.71;0.4941
1;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;4.87;0.5117
1;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;5.13;0.5179
3;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;6.13;0.5294
1;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;4.84;0.5347
1;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;5.91;0.5674
3;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;6.21;0.6001
1;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;4.72;0.6805
3;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;5.65;0.7778
3;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;5.21;0.7937
3;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;6.57;0.8175
1;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;5.37;0.8281
1;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;3.97;0.8626
1;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;5.89;0.8626
2;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;5;0.8741
3;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;6.98;0.8971
3;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;6.23;0.9103
1;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;5.32;0.9598
2;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;6.23;1.0323
1;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;5.81;1.0394
1;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;6.46;1.0464
3;1;03/12/2003;2003;litter bag technique (phragmites australis);canale il siedi;brindisi;40.55807;18.03843;Berosus sp;Berosus;35;6.49;1.0774
