eventId;parentEventId;eventDate;year;month;samplingProtocol;locality;decimalLatitude;decimalLongitude;providedScientificName;scientificName;measurementRemarks;bodyLength;ashFreeDryWeight;dryWeight;eunisHabitatsTypeName
2;4;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.61158;9.38708;Acroloxus lacustris;Acroloxus lacustris;30;3.684;0.293;;Surface running waters
1;3;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.60871;9.28344;Aeschnidae;Aeshnidae;30;4.474;0.134;0.298;Surface running waters
8;3;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.60871;9.28344;Aeschnidae;Aeshnidae;30;1.579;0.047;;Surface running waters
11;2;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.63861;9.30399;Aeschnidae;Aeshnidae;30;4.842;0.511;0.536;Surface running waters
2;1;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.65886;9.1743;Ancylus fluviatilis;Ancylus fluviatilis;30;3.158;0.327;;Surface running waters
4;1;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.65886;9.1743;Ancylus fluviatilis;Ancylus fluviatilis;30;3.158;0.327;;Surface running waters
7;1;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.65886;9.1743;Ancylus fluviatilis;Ancylus fluviatilis;30;2.737;0.209;;Surface running waters
8;1;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.65886;9.1743;Ancylus fluviatilis;Ancylus fluviatilis;30;2.105;0.092;;Surface running waters
8;1;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.65886;9.1743;Ancylus fluviatilis;Ancylus fluviatilis;30;3.211;0.344;;Surface running waters
9;1;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.65886;9.1743;Ancylus fluviatilis;Ancylus fluviatilis;30;3.368;0.4;;Surface running waters
9;1;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.65886;9.1743;Ancylus fluviatilis;Ancylus fluviatilis;30;3.421;0.42;;Surface running waters
9;1;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.65886;9.1743;Ancylus fluviatilis;Ancylus fluviatilis;30;4.053;0.713;;Surface running waters
9;1;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.65886;9.1743;Ancylus fluviatilis;Ancylus fluviatilis;30;6.316;2.849;;Surface running waters
1;9;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.74379;9.27411;Ancylus fluviatilis;Ancylus fluviatilis;30;4;0.744;2.256;Surface running waters
7;9;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.74379;9.27411;Ancylus fluviatilis;Ancylus fluviatilis;30;3.421;0.42;;Surface running waters
12;3;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.60871;9.28344;Ancylus fluviatilis;Ancylus fluviatilis;30;2.368;0.1;0.304;Surface running waters
12;3;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.60871;9.28344;Ancylus fluviatilis;Ancylus fluviatilis;30;2.368;0.092;0.28;Surface running waters
12;3;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.60871;9.28344;Ancylus fluviatilis;Ancylus fluviatilis;30;2.579;0.098;0.296;Surface running waters
12;3;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.60871;9.28344;Ancylus fluviatilis;Ancylus fluviatilis;30;2.632;0.102;0.308;Surface running waters
12;3;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.60871;9.28344;Ancylus fluviatilis;Ancylus fluviatilis;30;2.789;0.099;1.05;Surface running waters
